"","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Aerococcaceae",2.28534116878877,0,0,1.79579271421242,0,0,0,0,0,0,0,0,0,0,0,24.3019648397105
"Nitrososphaeraceae",49.624551093699,44.2256602594155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mycoplasmataceae",0,0,0,0,0,0,0,0,0,0,8.32562442183164,0,0,0,0,0
"Carnobacteriaceae",18.2827293503102,14.8460696983904,0,0,80.5210183540557,380.304243394716,40.0451212633954,0,0,0,0,33.4373606776639,50.1118568232662,20.1729106628242,21.4564369310793,0
"[Paraprevotellaceae]",0,0,0,9.23550538737814,0,0,0,0,0,0,0,10.2541239411502,0,0,0,0
"FFCH4570",0,11.4080325050789,0,11.2878399179066,0,0,0,0,0,15.3999006458023,0,0,11.1856823266219,0,0,0
"Beijerinckiaceae",3.9177277179236,5.31333020784498,0,6.41354540790149,0,0,0,0,0,0,0,23.1832367365136,35.3467561521253,39.5224372169617,0,0
"C111",0,0,0,0,0,0,0,0,0,0,0,0,0,5.76368876080692,0,0
"Veillonellaceae",7.83545543584721,1.71901859665573,0,21.8060543868651,34.9319123741859,44.0352281825461,15.2284263959391,21.0656753407683,0,0,0,116.36201515827,0,7.41045697818032,0,0
"Planococcaceae",26.2814234410708,23.1286138459134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isosphaeraceae",30.5256284688214,43.131739334271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcaceae",0,0,0,20.0102616726526,34.339846062759,0,0,0,46.1837627613029,0,67.5300647548566,25.8582255907267,64.8769574944072,14.4092219020173,44.8634590377113,0
"Streptomycetaceae",12.2428991185113,16.5650882950461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oxalobacteraceae",23.1798889977147,40.9438974839819,48.8922841864019,33.3504361210877,30.7874481941978,44.0352281825461,0,68.1536555142504,0,35.7675111773473,38.8529139685477,45.0289790459207,0,0,67.6202860858258,46.0186142709411
"Coriobacteriaceae",0,0,0,0,0,0,0,9.91325898389096,0,0,0,32.9915292019617,0,0,0,0
"Paenibacillaceae",3.59125040809664,0,0,11.0312981015906,0,0,0,0,0,0,0,0,12.5279642058166,6.17538081515027,0,13.4436401240951
"Christensenellaceae",4.57068233757754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Koribacteraceae",46.8494939601698,18.127832473824,0,42.0728578758338,0,0,0,0,0,0,0,0,70.2460850111857,57.2251955537258,0,0
"Bifidobacteriaceae",5.87659157688541,0,0,3.07850179579271,0,0,0,54.5229244114003,0,0,0,413.731609451627,0,0,0,0
"Ktedonobacteraceae",2.9382957884427,0,0,2.5654181631606,0,0,0,0,0,0,0,0,0,0,0,0
"Geodermatophilaceae",27.2608553705517,18.7529301453352,0,21.0364289379169,0,0,0,0,0,26.3288623944362,0,0,0,31.2885961300947,0,0
"Conexibacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,115.883668903803,70.3993412927131,0,0
"Chthonomonadaceae",3.42801175318315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphingobacteriaceae",15.8341495266079,6.09470229723394,0,0,0,0,0,0,0,0,0,0,0,27.9950596953479,0,0
"Rhodobacteraceae",10.7737512242899,0,0,0,0,0,0,0,0,0,0,6.68747213553277,0,9.88060930424043,0,0
"Symbiobacteriaceae",2.61181847861574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudonocardiaceae",27.9138099902057,29.0670417252696,0,34.8896870189841,0,0,0,0,0,0,0,0,0,0,0,31.540847983454
"Patulibacteraceae",27.0976167156383,22.0346929207689,0,24.6280143663417,0,0,0,0,0,43.7158469945355,0,0,17.4496644295302,8.64553314121038,0,0
"Peptococcaceae",0,0,0,2.30887634684454,0,0,0,0,0,0,0,0,0,0,0,0
"Flavobacteriaceae",0,0,0,0,10.065127294257,0,0,0,0,0,0,0,0,0,0,3.1023784901758
"Geobacteraceae",0,0,0,18.7275525910723,0,0,0,0,0,0,0,0,0,0,0,0
"Polyangiaceae",3.42801175318315,0,0,4.36121087737301,0,0,0,0,0,14.903129657228,0,2.67498885421311,0.894854586129754,0,0,0
"Sporichthyaceae",23.0166503428012,30.3172370682919,0,0,0,0,0,0,0,75.0124192747144,0,0,0,53.5199670646357,0,0
"Haliangiaceae",12.7326150832517,24.3788091889358,0,21.549512570549,0,0,0,0,0,17.3869846000994,0,9.80829246544806,0,23.8781391519144,0,0
"Porphyromonadaceae",1.79562520404832,0,0,5.13083632632119,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacteriaceae",5.06039830231799,17.3464603844351,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7507755946225
"Desulfovibrionaceae",0,0,0,37.1985633658286,0,0,0,0,0,0,0,1.78332590280874,0,0,0,15.511892450879
"Gracilibacteraceae",0,0,0,6.67008722421755,0,0,0,0,0,0,0,0,0,0,0,0
"Syntrophobacteraceae",15.8341495266079,0,0,6.41354540790149,0,0,0,0,0,34.2771982116245,0,7.57913508693714,0,11.5273775216138,0,0
"Myxococcaceae",0,0,0,2.30887634684454,0,0,0,0,0,0,0,10.2541239411502,0,0,0,0
"Thermomonosporaceae",9.79431929480901,8.75136740115643,0,14.8794253463315,0,0,0,0,0,10.9289617486339,0,0,0,29.6418279127213,0,0
"Endozoicimonaceae",0,0,0,0,0,0,0,0,0,0,25.9019426456984,0,0,0,0,0
"Cenarchaeaceae",0,0,0,3.84812724474089,0,0,0,0,0,0,0,0,0,0,0,0
"Cystobacterineae",3.10153444335619,0,0,9.74858902001026,0,0,0,0,0,8.44510680576255,0,0,0,0,0,0
"Dethiosulfovibrionaceae",0,0,0,0,0,0,0,0,0,0,0,5.7958091841284,0,0,0,0
"[Chromatiaceae]",2.44857982370225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bradyrhizobiaceae",47.6656872347372,50.7891858102829,33.6134453781513,32.3242688558235,0,0,0,0,0,0,0,57.958091841284,57.2706935123043,87.2787155207905,76.7230169050715,40.3309203722854
"Helicobacteraceae",0,0,0,12.5705489994869,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerolinaceae",0,0,0,5.64391995895331,0,0,0,0,0,0,0,0,0,0,0,0
"Chromatiaceae",0,0,0,38.2247306310929,0,0,0,0,0,19.3740685543964,0,0,0,0,0,0
"Piscirickettsiaceae",0,0,0,46.6906105695228,0,34.4275420336269,0,0,0,0,0,0,0,6.58707286949362,0,0
"Gemmatimonadaceae",0,0,0,0,0,0,9.58826847151721,0,0,0,0,0,0,0,0,0
"Ellin5301",9.95755794972249,0,0,0,0,0,0,0,0,0,0,0,0,16.4676821737341,0,0
"BA008",0,0,0,4.36121087737301,0,0,0,0,0,0,0,0,0,0,0,0
"PRR-10",0,0,0,0,0,0,0,0,0,2.9806259314456,0,0,0,0,0,0
"Brocadiaceae",0,0,0,1.2827090815803,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacteriaceae",0,0,7.63941940412529,0,0,0,0,0,0,0,0,0,0,4.11692054343351,0,25.3360910031024
"[Odoribacteraceae]",0,0,0,1.79579271421242,0,0,0,0,0,0,0,0,0,0,0,0
